iter	TotalF1	MultiClass
298	0.8813393987	-0.3582519034
299	0.8814374013	-0.3580102459
300	0.8815899622	-0.3575260278
301	0.8816659288	-0.3571704217
302	0.8816452289	-0.3568986338
303	0.8817800374	-0.3563859636
304	0.8819716008	-0.3559520131
305	0.8820741721	-0.3556178623
306	0.8820513432	-0.3550666638
307	0.8822189375	-0.3546980201
308	0.8823611728	-0.3541645065
309	0.8824556328	-0.3539202801
310	0.8824424258	-0.3536432277
311	0.8825393346	-0.3532461862
312	0.8825813182	-0.3529948843
313	0.8827231048	-0.3525593758
314	0.8827746109	-0.3521758262
315	0.8829205839	-0.3517787863
316	0.8829702724	-0.3513257753
317	0.8830685976	-0.3509464638
318	0.8833611955	-0.3504430311
319	0.8834601936	-0.3500148426
320	0.8834772167	-0.3496942994
321	0.8837710506	-0.3491896146
322	0.883938411	-0.3488171805
323	0.8839636089	-0.3484121522
324	0.8840854419	-0.3480521981
325	0.8841185262	-0.347787737
326	0.8841569639	-0.3474193087
327	0.8842475778	-0.3471259483
328	0.8842668384	-0.3469201592
329	0.8843504566	-0.3465879128
330	0.8843863056	-0.3464075973
331	0.8845242043	-0.3460966763
332	0.884577023	-0.3457925523
333	0.8846456893	-0.3455303488
334	0.8846542618	-0.3452758862
335	0.8847525492	-0.3448510105
336	0.8848403232	-0.344526927
337	0.8850112461	-0.3441086323
338	0.8851286119	-0.3436284007
339	0.8852571691	-0.3432335618
340	0.8853597023	-0.3428673969
341	0.8854248113	-0.3426431663
342	0.8854941113	-0.3423876557
343	0.885564417	-0.3420582427
344	0.8856745294	-0.3417480429
345	0.8858919689	-0.3413968059
346	0.8859113274	-0.3412191832
347	0.8860181366	-0.3408678875
348	0.8859704855	-0.340626132
349	0.8861491591	-0.3400160326
350	0.8863477927	-0.3396089063
351	0.8863537099	-0.3394576182
352	0.8863838106	-0.3392737105
353	0.8865386059	-0.3389320298
354	0.8866633011	-0.3385004162
355	0.8867101033	-0.3382575148
356	0.8868826402	-0.337961945
357	0.8869869819	-0.337572025
358	0.8869619731	-0.3372253798
359	0.887039306	-0.3369283688
360	0.887082012	-0.3367068107
361	0.8872214498	-0.3362858304
362	0.8873247333	-0.3360955972
363	0.8873260523	-0.3358439483
364	0.8873700192	-0.3355763748
365	0.8874284022	-0.3353114618
366	0.8875398	-0.3349516532
367	0.8875580546	-0.3347306426
368	0.8876625305	-0.3344955905
369	0.8876952043	-0.3342750188
370	0.8877427309	-0.3339288692
371	0.8878493025	-0.3337113456
372	0.8879091987	-0.3334595514
373	0.8880107349	-0.3331752685
374	0.8880542361	-0.3330183832
375	0.8881975224	-0.3326209737
376	0.8883784609	-0.3324049247
377	0.8884051119	-0.3321447754
378	0.8885309368	-0.3318807957
379	0.8886210695	-0.3315416837
380	0.8886421503	-0.331177163
381	0.8887836735	-0.3308150835
382	0.8888291758	-0.3305498956
383	0.888833154	-0.3303653838
384	0.8888523579	-0.3300452591
385	0.8889761695	-0.3295656209
386	0.8890989751	-0.3292560318
387	0.8891570551	-0.3289931947
388	0.8892337071	-0.3287387435
389	0.8892557169	-0.3285140055
390	0.8893701921	-0.3282047656
391	0.8893976024	-0.327908491
392	0.8894694315	-0.3276435921
393	0.8895207119	-0.3274519987
394	0.8895349076	-0.3271599091
395	0.8896023132	-0.326968365
396	0.8897062218	-0.3267493049
397	0.8897592559	-0.3264315616
398	0.889808047	-0.3261918408
399	0.8898490422	-0.3259302458
400	0.8899654976	-0.3257235925
401	0.8899708182	-0.3254771878
402	0.8900559633	-0.3251624137
403	0.890187033	-0.3249180669
404	0.8903144514	-0.3247068468
405	0.8903436673	-0.3245422323
406	0.8903876427	-0.3243147034
407	0.8904271676	-0.3240386683
408	0.8904952778	-0.3237875917
409	0.8905868245	-0.3235270566
410	0.8907375967	-0.3231644862
411	0.8908513867	-0.3229256
412	0.8909259863	-0.3226993197
413	0.8910343791	-0.3224957393
414	0.8911236023	-0.3222990106
415	0.8911882292	-0.3220495825
416	0.891292265	-0.32179072
417	0.891327868	-0.3214780779
418	0.8913876405	-0.321238796
419	0.8914829635	-0.3209044756
